啊,a,Thán từ,"A, à",你来了啊！,Nǐ lái le ā,Bạn đến rồi à!
改,gǎi,Động từ,"Sửa, thay đổi",他决定改掉这个坏习惯。,Tā juédìng gǎi diào zhège huài xíguàn,Anh ấy quyết định sửa thói quen xấu này.
改变,gǎibiàn,Động từ,Thay đổi,他有了很大的改变。,Tā yǒule hěn dà de gǎibiàn,Anh ấy đã thay đổi rất nhiều.
干杯,gānbēi,Động từ,Cạn ly,为我们的友谊干杯！,Wèi wǒmen de yǒuyì gānbēi,Cạn ly vì tình bạn của chúng ta!
感到,gǎndào,Động từ,Cảm thấy,我感到很高兴。,Wǒ gǎndào hěn gāoxìng,Tôi cảm thấy rất vui.
感动,gǎndòng,Tính từ,"Cảm động, xúc động",他的故事让我很感动。,Tā de gùshi ràng wǒ hěn gǎndòng,Câu chuyện của anh ấy khiến tôi rất cảm động.
感觉,gǎnjué,Động từ,"Cảm giác, cảm thấy",我感觉有点儿冷。,Wǒ gǎnjué yǒudiǎnr lěng,Tôi cảm thấy có chút lạnh.
感谢,gǎnxiè,Động từ,Cảm ơn,非常感谢你的帮助。,Fēicháng gǎnxiè nǐ de bāngzhù,Rất cảm ơn sự giúp đỡ của bạn.
干活儿,gàn/huór,Động từ,Làm việc,他们正在干活儿。,Tāmen zhèngzài gàn huór,Họ đang làm việc.
刚,gāng,Phó từ,Vừa mới,我刚到家。,Wǒ gāng dào jiā,Tôi vừa về đến nhà.
刚才,gāngcái,Danh từ chỉ thời gian,Lúc nãy,(刚才 tô đỏ)你去哪儿了？,Gāngcái nǐ qù nǎr le,Vừa nãy bạn đi đâu thế?
刚刚,gānggāng,Phó từ,Vừa mới,他刚刚出门。,Tā gānggāng chūmén,Anh ấy vừa mới ra ngoài.
高级,gāojí,Tính từ,Cao cấp,这是一家高级酒店。,Zhè shì yì jiā gāojí jiǔdiàn,Đây là một khách sạn cao cấp.
高中,gāozhōng,Danh từ,"Cấp 3, trung học phổ thông",这是一所很有名的高中。,Zhè shì yì suǒ hěn yǒumíng de gāozhōng,Đây là một trường trung học rất nổi tiếng.
个子,gèzi,Danh từ,"Vóc dáng, chiều cao",他个子很高。,Tā gèzi hěn gāo,Anh ấy có dáng người cao ráo.
更,gèng,Phó từ,"Hơn, càng",今天比昨天更冷。,Jīntiān bǐ zuótiān gèng lěng,Hôm nay lạnh hơn hôm qua.
公共汽车,gōnggòng qìchē,Danh từ,Xe buýt công cộng,我每天坐公共汽车上班。,Wǒ měitiān zuò gōnggòng qìchē shàngbān,Tôi đi làm bằng xe buýt mỗi ngày.
公交车,gōngjiāochē,Danh từ,Xe buýt,这辆公交车很拥挤。,Zhè liàng gōngjiāochē hěn yōngjǐ,Chiếc xe buýt này rất đông người.
公斤,gōngjīn,Lượng từ,Kilogram,这个西瓜两公斤。,Zhège xīguā liǎng gōngjīn,Quả dưa hấu này nặng hai kg.
公里,gōnglǐ,Lượng từ,Kilomet,我家离公司五公里。,Wǒ jiā lí gōngsī wǔ gōnglǐ,Nhà tôi cách công ty 5 km.
公路,gōnglù,Danh từ,Đường quốc lộ,这条公路很宽。,Zhè tiáo gōnglù hěn kuān,Con đường này rất rộng.
公平,gōngpíng,Tính từ,Công bằng,这次比赛很公平。,Zhè cì bǐsài hěn gōngpíng,Trận đấu lần này rất công bằng.
公司,gōngsī,Danh từ,Công ty,我在一家外资公司工作。,Wǒ zài yì jiā wàizī gōngsī gōngzuò,Tôi làm việc tại một công ty vốn nước ngoài.
公园,gōngyuán,Danh từ,Công viên,我们去公园散步吧。,Wǒmen qù gōngyuán sànbù ba,Chúng ta đi dạo công viên nhé.
狗,gǒu,Danh từ,Chó,这只小狗很可爱。,Zhè zhī xiăo gǒu hěn kě’ài,Con chó này rất đáng yêu.
够,gòu,Tính từ,Đủ,这些钱不够买车。,Zhèxiē qián bú gòu mǎi chē,Số tiền này không đủ mua xe.
故事,gùshì,Danh từ,Câu chuyện,这个故事很有趣。,Zhège gùshi hěn yǒuqù,Câu chuyện này rất thú vị.
故意,gùyì,Phó từ,Cố ý,他是故意迟到的。,Tā shì gùyì chídào de,Anh ấy cố tình đến muộn.
顾客,gùkè,Danh từ,Khách hàng,顾客是上帝。,Gùkè shì shàngdì,Khách hàng là thượng đế.
关机,guānjī,Động từ,Tắt máy,你关机了吗？,Nǐ guānjīle ma?,Bạn đã tắt máy chưa?
关心,guānxīn,Động từ,Quan tâm,他很关心我的健康。,Tā hěn guānxīn wǒ de jiànkāng,Anh ấy rất quan tâm đến sức khỏe của tôi.
观点,guāndiǎn,Danh từ,Quan điểm,你的观点很正确。,Nǐ de guāndiǎn hěn zhèngquè,Quan điểm của bạn rất đúng.
广场,guǎngchǎng,Danh từ,Quảng trường,他们在广场上跳舞。,Tāmen zài guǎngchǎng shàng tiàowǔ,Họ đang nhảy múa trên quảng trường.
广告,guǎnggào,Danh từ,Quảng cáo,这个广告很有创意。,Zhège guǎnggào hěn yǒu chuàngyì,Quảng cáo này rất sáng tạo.
国际,guójì,Tính từ,Quốc tế,他是国际学生。,Tā shì guójì xuéshēng,Anh ấy là du học sinh quốc tế.
过来,guò lái,Động từ,"Qua đây, đến đây",请你过来一下。,Qǐng nǐ guòlai yíxià,Bạn qua đây một chút.
过年,guò nián,Động từ,"Đón tết, đón năm mới",我打算回老家过年。,Wǒ dǎsuàn huí lǎojiā guònián,Tôi định sẽ về quê để đón năm mới.
过去,guòqù,Động từ,"Quá khứ, đã qua",过去的事情不要再想了。,Guòqù de shìqing bú yào zài xiǎng le,Những chuyện đã qua đừng nghĩ nữa.
过,guo,Trợ từ,"Qua, đi qua",我们昨天去过那个地方。,Wǒmen zuótiān qù guo nàge dìfāng,Hôm qua chúng tôi đã từng đến nơi đó.
海,hǎi,Danh từ,Biển,这片大海很美丽。,Zhè piàn dàhǎi hěn měilì,Biển này rất đẹp.
海边,hǎibiān,Danh từ,Bờ biển,我喜欢在海边散步。,Wǒ xǐhuan zài hǎibiān sànbù,Tôi thích đi dạo bên bờ biển.
喊,hǎn,Động từ,"Hét, hô, gọi",他大声喊了我的名字。,Tā dàshēng hǎn le wǒ de míngzi,Anh ấy lớn tiếng gọi tên tôi.
好,hǎo,Tính từ,"Tốt, giỏi",我身体很好。,Wǒ shēntǐ hěn hǎo,Sức khoẻ của tôi rất tốt.
好处,hǎochù,Danh từ,"Điểm tốt, lợi ích",多喝热水对身体有好处。,Duō hē rè shuǐ duì shēntǐ yǒu hǎochù,Uống nhiều nước nóng tốt cho sức khỏe.
好多,hǎoduō,Số từ,Rất nhiều,他家里有好多书。,Tā jiāli yǒu hǎo duō shū,Nhà anh ấy có rất nhiều sách.
好久,hǎojiǔ,Phó từ,Rất lâu,我们好久没见了。,Wǒmen hǎojiǔ méi jiàn le,Chúng ta lâu rồi không gặp.
好人,hǎorén,Danh từ,Người tốt,她是一个好人。,Tā shì yí ge hǎorén,Cô ấy là một người tốt.
好事,hǎoshì,Danh từ,Việc tốt,这真是一件好事。,Zhè zhēn shì yí jiàn hǎoshì,Đây thật sự là một việc tốt.
好像,hǎoxiàng,Động từ,"Hình như, dường như",你今天好像很高兴。,Nǐ jīntiān hǎoxiàng hěn gāoxìng,Hôm nay bạn có vẻ rất vui.
合适,héshì,Tính từ,Phù hợp,这件衣服很合适。,Zhè jiàn yīfu hěn héshì,Bộ quần áo này rất phù hợp.
河,hé,Danh từ,Sông,那条河很长。,Nà tiáo hé hěn cháng,Con sông đó rất dài.
黑,hēi,Tính từ,Đen,天黑了，我们回家吧。,Tiān hēi le wǒmen huíjiā ba,"Trời tối rồi, chúng ta về nhà thôi."
黑板,hēibǎn,Danh từ,Bảng đen,黑板上写着你的名字。,Hēibǎn shàng xiě zhe nǐ de míngzi,Trên bảng đen có viết tên bạn.
黑色,hēisè,Danh từ,Màu đen,这条裙子是黑色的。,Zhè tiáo qúnzi shì hēisè de,Chiếc váy này có màu đen.
红,hóng,Tính từ,Đỏ,鲜红的花朵很美丽。,Xiānhóng de huāduǒ hěn měilì,Những bông hoa đỏ tươi rất đẹp.
红色,hóngsè,Danh từ,Màu đỏ,他的衣服是红色的。,Tā de yīfu shì hóngsè de,Quần áo của anh ấy là màu đỏ.
后来,hòulái,Phó từ,"Sau này, về sau",后来他去了北京。,Hòulái tā qù le Běijīng,Sau này anh ấy đã đi Bắc Kinh.
忽然,hūrán,Phó từ,"Đột nhiên, bỗng nhiên",天气忽然变冷了。,Tiānqì hūrán biàn lěng le,Thời tiết đột nhiên trở lạnh.
湖,hú,Danh từ,Hồ,湖里的水很清。,Hú lǐ de shuǐ hěn qīng,Nước trong hồ rất trong.
护照,hùzhào,Danh từ,Hộ chiếu,我要去办护照。,Wǒ yào qù bàn hùzhào,Tôi phải đi làm hộ chiếu.
花,huā,Danh từ,"Hoa, bông hoa",我们在花园里散步。,Wǒmen zài huāyuán li sànbù,Chúng tôi đi dạo trong vườn hoa.
花园,huāyuán,Danh từ,Vườn hoa,,,
画,huà,Động từ,"Vẽ, phác họa",你画得真好看啊!,Nǐ huà de zhēn hǎokàn a,Bạn vẽ đẹp quá đi!
画家,huàjiā,Danh từ,Họa sĩ,这个画家很有名。,Zhège huàjiā hěn yǒumíng,Họa sĩ này rất nổi tiếng.
画儿,huàr,Danh từ,Tranh vẽ,她喜欢画画儿。,Tā xǐhuan huà huàr,Cô ấy thích vẽ tranh.
坏处,huàichù,Danh từ,"Điều xấu, tác hại",吸烟对身体有坏处。,Xīyān duì shēntǐ yǒu huàichù,Hút thuốc có hại cho sức khỏe.
坏人,huàirén,Danh từ,Người xấu,他不是坏人。,Tā bú shì huàirén,Anh ấy không phải người xấu.
欢迎,huānyíng,Động từ,"Hoan nghênh, chào mừng",欢迎你来我家玩。,Huānyíng nǐ lái wǒ jiā wán,Chào mừng bạn đến nhà tôi chơi.
换,huàn,Động từ,"Đổi, thay đổi",你要换衣服吗？,Nǐ yào huàn yīfu ma?,Bạn có muốn thay quần áo không?
黄,huáng,Tính từ,Màu vàng,她穿了一条黄色的群子。,Tā chuānle yìtiáo huángsè de qúnzi,Cô ấy mặc một chiếc váy màu vàng.
黄色,huángsè,Danh từ,Màu vàng,,,
回,huí,Động từ,"Quay lại, trở về",我明天要回老家了。,Wǒ míngtiān yào huí lăo jiā le,Ngày mai tôi sẽ về quê.
回国,huíguó,Động từ,Về nước,他昨天回国了。,Tā zuótiān huíguó le,Hôm qua anh ấy đã về nước.
会,huì,Động từ,"Có thể, biết",你会说汉语吗？,Nǐ huì shuō Hànyǔ ma?,Bạn biết nói tiếng Trung không?
活动,huódòng,Danh từ,"Hoạt động, sự kiện",这个活动很有意思。,Zhège huódòng hěn yǒu yìsi,Hoạt động này rất thú vị.
或,huò,Liên từ,"Hoặc, hay",我们可以坐地铁或者打车去。,Wǒmen kěyǐ zuò dìtiě huòzhě dǎchē qù,Chúng ta có thể đi tàu điện ngầm hoặc bắt taxi.
或者,huòzhě,Liên từ,"Hoặc là, hay là",,,
机会,jīhuì,Danh từ,Cơ hội,他得到一个很好的工作机会。,Tā dédào yíge hěn hǎo de gōngzuò jīhuì,Anh ấy có một cơ hội việc làm rất tốt.
鸡,jī,Danh từ,Gà,我家有两只小鸡。,Wǒ jiā yǒu liǎng zhī xiǎo jī,Nhà tôi có hai con gà con.
级,jí,Danh từ,"Cấp bậc, trình độ",他是二年级学生。,Tā shì èr niánjí xuéshēng,Cậu ấy là học sinh lớp hai.
急,jí,Tính từ,"Gấp, khẩn cấp",你别太着急！,Nǐ bié tài zhāojí,Bạn đừng quá lo lắng!
计划,jìhuà,Danh từ,Kế hoạch,我们有一个新计划。,Wǒmen yǒu yíge xīn jìhuà,Chúng tôi có một kế hoạch mới.
计算机,jìsuànjī,Danh từ,Máy tính,我买了一台计算机。,Wǒ mǎile yì tái jìsuànjī,Tôi đã mua một chiếc máy tính.
加,jiā,Động từ,"Cộng, thêm",请给我加点水。,Qǐng gěi wǒ jiā diǎn shuǐ,Xin cho tôi thêm một chút nước.
加油,jiā yóu,Động từ,"Cố lên, tiếp nhiên liệu",加油！你一定会成功的！,Jiāyóu! Nǐ yídìng huì chénggōng de,Cố lên! Bạn sẽ thành công thôi!
家（科学家）,jiā (kēxuéjiā),Danh từ,Nhà (nhà khoa học),他想成为科学家。,Tā xiǎng chéngwéi kēxuéjiā,Anh ấy muốn trở thành nhà khoa học.
家庭,jiātíng,Danh từ,Gia đình,我的家庭很幸福。,Wǒ de jiātíng hěn xìngfú,Gia đình tôi rất hạnh phúc.
家长,jiāzhǎng,Danh từ,Phụ huynh,家长在学校开会。,Jiāzhǎng zài xuéxiào kāihuì,Phụ huynh họp tại trường học.
假,jiǎ,Tính từ,Giả,这是假的。,Zhè shì jiǎ de,Này là giả đó.
假期,jiàqī,Danh từ,Kỳ nghỉ,我们的假期很长。,Wǒmen de jiàqī hěn cháng,Kỳ nghỉ của chúng tôi rất dài.
检查,jiǎnchá,Động từ,Kiểm tra,老师每天都检查我们的作业。,Lǎoshī měitiān dōu jiǎnchá wǒmen de zuòyè,Giáo viên kiểm tra bài tập về nhà của chúng tôi mỗi ngày.
见面,jiànmiàn,Động từ,Gặp mặt,我们明天见面吧。,Wǒmen míngtiān jiànmiàn ba,Chúng ta gặp nhau vào ngày mai nhé.
见过,jiànguò,Động từ,Đã gặp qua,我见过他很多次。,Wǒ jiànguò tā hěn duō cì,Tôi đã gặp anh ấy nhiều lần.
牛,niú,Danh từ,Bò,田里有很多牛。,Tiánli yǒu hěn duō niú,Trong ruộng có rất nhiều bò.
健康,jiànkāng,Tính từ,"Khỏe mạnh, sức khỏe",运动让身体更健康。,Yùndòng ràng shēntǐ gèng jiànkāng,Tập thể dục giúp cơ thể khỏe mạnh hơn.
讲,jiǎng,Động từ,"Nói, giảng",老师讲得很清楚。,Lǎoshī jiǎng de hěn qīngchǔ,Thầy giáo giảng rất rõ ràng.
讲话,jiǎng huà,Động từ,Nói chuyện,他喜欢在课上讲话。,Tā xǐhuan zài kè shàng jiǎnghuà,Cậu ấy thích nói chuyện trong lớp.
交,jiāo,Động từ,"Giao, kết giao",请把书交给我。,Qǐng bǎ shū jiāogěi wǒ,Xin đưa quyển sách cho tôi.
交给,jiāo gěi,Động từ,Giao cho,,,
交朋友,jiāo péngyou,Động từ,Kết bạn,我喜欢交朋友。,Wǒ xǐhuan jiāo péngyou,Tôi thích kết bạn.
交通,jiāotōng,Danh từ,Giao thông,这里的交通很方便。,Zhèli de jiāotōng hěn fāngbiàn,Giao thông ở đây rất thuận tiện.
角,jiǎo,Danh từ,Góc,桌子有四个角。,Zhuōzi yǒu sì gè jiǎo,Cái bàn có bốn góc.
角度,jiǎodù,Danh từ,"Góc độ, quan điểm",你换个角度看问题吧。,Nǐ huàn gè jiǎodù kàn wèntí ba,Bạn hãy nhìn vấn đề theo một góc độ khác.
饺子,jiǎozi,Danh từ,Sủi cảo,我很喜欢吃饺子。,Wǒ hěn xǐhuan chī jiǎozi,Tôi rất thích ăn sủi cảo.
脚,jiǎo,Danh từ,Chân,我的脚有点疼。,Wǒ de jiǎo yǒudiǎn téng,Chân tôi hơi đau.
叫作,jiàozuò,Động từ,Gọi là,这种水果叫作苹果。,Zhè zhǒng shuǐguǒ jiàozuò píngguǒ,Loại trái cây này gọi là táo.
教师,jiàoshī,Danh từ,Giáo viên,我的妈妈是教师。,Wǒ de māma shì jiàoshī,Mẹ tôi là giáo viên.
教室,jiàoshì,Danh từ,Phòng học,我们在教室里学习。,Wǒmen zài jiàoshìli xuéxí,Chúng tôi học tập trong lớp học.
教学,jiàoxué,Danh từ,Giảng dạy,他的教学方法很好。,Tā de jiàoxué fāngfǎ hěn hǎo,Phương pháp giảng dạy của anh ấy rất tốt.
教育,jiàoyù,Danh từ,Giáo dục,教育对孩子很重要。,Jiàoyù duì háizi hěn zhòngyào,Giáo dục rất quan trọng đối với trẻ em.
接,jiē,Động từ,"Nhận, tiếp đón, đón",我去机场接你。,Wǒ qù jīchǎng jiē nǐ,Tôi ra sân bay đón bạn.
接到,jiēdào,Động từ,Nhận được,他刚接到一个很重要的电话。,Tā gāng jiē dào yígè hěn zhòngyào de diànhuà,Anh ấy vừa nhận được một cuộc gọi rất quan trọng.
接受,jiēshòu,Động từ,"Chấp nhận, tiếp nhận",他正在接受访问。,Tā zhèngzài jiēshòu fǎngwèn,Anh ấy đang được phỏng vấn.
接下来,jiē xiàlái,Động từ,Tiếp theo,接下来我们做什么？,Jiē xiàlai wǒmen zuò shénme?,Tiếp theo chúng ta làm gì?
接着,jiē zhe,Động từ,Tiếp tục,我们接着做吧。,Wǒmen jiē zhe zuò ba,Chúng ta tiếp tục làm đi.
街,jiē,Danh từ,"Phố, đường phố",这条街很热闹。,Zhè tiáo jiē hěn rènào,Con phố này rất nhộn nhịp.
节,jié,Danh từ,Tiết học,今天上午我上两节韩语课。,Jīntiān shàngwǔ wǒ shàng liǎng jié Hányǔ kè.,Sáng hôm nay tôi học hai tiết tiếng Hàn.
节目,jiémù,Danh từ,Chương trình,这个节目很有趣。,Zhège jiémù hěn yǒuqù,Chương trình này rất thú vị.
节日,jiérì,Danh từ,"Ngày lễ, ngày hội",春节是中国的重要节日。,Chūnjié shì Zhōngguó de zhòngyào jiérì,Tết Nguyên đán là một lễ hội quan trọng ở Trung Quốc.
结果,jiéguǒ,Danh từ,Kết quả,我们等了很久，结果还没出来。,"Wǒmen děng le hěn jiǔ, jiéguǒ hái méi chūlai","Chúng tôi đợi rất lâu, kết quả vẫn chưa có."
借,jiè,Động từ,"Mượn, vay",我借了一本书。,Wǒ jiè le yì běn shū,Tôi đã mượn một quyển sách.
斤,jìn,Tính từ,Cân,我买了两斤苹果。,Wǒ mǎi le liǎng jīn píngguǒ,Tôi mua một cân táo.
今后,jīnhòu,Danh từ,Từ nay về sau,今后我要努力学汉语。,Jīnhòu wǒ yào nǔlì xué Hànyǔ,Từ nay về sau tôi sẽ cố gắng học tiếng Trung.
进入,jìnrù,Động từ,"Tiến vào, đi vào",我们很快就进入了新的学年。,Wǒmen hěn kuài jiù jìnrùle xīn de xuénián,Chúng ta sẽ nhanh chóng bước vào năm học mới.
进行,jìnxíng,Động từ,Tiến hành,他们正在进行考试。,Tāmen zhèngzài jìnxíng kǎoshì,Họ đang tiến hành kỳ thi.
近,jìn,Tính từ,Gần,他家离学校很近。,Tā jiā lí xuéxiào hěn jìn,Nhà anh ấy rất gần trường.
经常,jīngcháng,Phó từ,Thường xuyên,我经常去公园跑步。,Wǒ jīngcháng qù gōngyuán pǎobù,Tôi thường đến công viên để chạy bộ.
经过,jīngguò,Động từ,"Đi qua, trải qua",经过商店时，他买了一些水果。,Jīngguò shāngdiàn shí tā mǎi le yìxiē shuǐguǒ,"Khi đi qua cửa hàng, anh ấy mua một ít trái cây."
经理,jīnglǐ,Danh từ,"Giám đốc, quản lý",他是我们的经理。,Tā shì wǒmen de jīnglǐ,Anh ấy là giám đốc của chúng tôi.
酒,jiǔ,Danh từ,Rượu,我不喝酒。,Wǒ bù hē jiǔ,Tôi không uống rượu.
酒店,jiǔdiàn,Danh từ,Khách sạn,这家酒店很大。,Zhè jiā jiǔdiàn hěn dà,Khách sạn này rất lớn.
就要,jiùyào,Phó từ,Sắp (làm gì đó),他就要回来了。,Tā jiùyào huílai le,Anh ấy sắp về rồi.
举,jǔ,Động từ,"Nâng, giơ (tay)",请举手回答问题。,Qǐng jǔshǒu huídá wèntí,Vui lòng giơ tay trả lời câu hỏi.
举手,jǔshǒu,Động từ,Giơ tay,,,
举行,jǔxíng,Động từ,"Tổ chức (họp, hoạt động)",学校举行了唱歌比赛。,Xuéxiào jǔxíngle chànggē bǐsài,Một cuộc thi ca hát đã được tổ chức ở trường.
句,jù,Danh từ,Câu,请读这个句子。,Qǐng dú zhège jùzi,Hãy đọc câu này nhé!
句子,jùzi,Danh từ,Câu (ngữ pháp),,,
卡,kǎ,Danh từ,"Thẻ, card",我的银行卡丢了。,Wǒ de yínháng kǎ diū le,Thẻ ngân hàng của tôi bị mất rồi.
开机,kāijī,Động từ,Bật máy,电脑开机了。,Diànnǎo kāijī le,Máy tính đã được bật.
开心,kāixīn,Tính từ,"Vui vẻ, hạnh phúc",我今天很开心。,Wǒ jīntiān hěn kāixīn,Hôm nay tôi rất vui.
开学,kāixué,Động từ,Khai giảng,学生们开学了。,Xuéshēngmen kāixué le,Học sinh đã khai giảng rồi.
看法,kànfǎ,Danh từ,"Quan điểm, cách nhìn",这是我的个人看法。,Zhè shì wǒ de gèrén kànfǎ,Đây là ý kiến cá nhân của tôi.
考生,kǎoshēng,Danh từ,Thí sinh,考生们很紧张。,Kǎoshēngmen hěn jǐnzhāng,Các thí sinh rất căng thẳng.
靠,kào,Động từ,"Tựa, kê",我喜欢靠窗的位置。,Wǒ xǐhuan kào chuāng de wèizhi,Tôi thích chỗ ngồi cạnh cửa sổ.
科,kē,Danh từ,"Ngành học, khoa (trong bệnh viện)",你学哪一科？,Nǐ xué nǎ yì kē?,Bạn học chuyên ngành gì?
科学,kēxué,Danh từ,Khoa học,她是一个了不起的科学家。,Tā shì yíge liǎobuqǐ de kēxuéjiā,Cô ấy là một nhà khoa học tài ba.
可爱,kě’ài,Tính từ,Đáng yêu,这只猫很可爱。,Zhè zhī māo hěn kě’ài,Con mèo này rất đáng yêu.
可能,kěnéng,Động từ,"Có thể, khả năng",明天可能下雨。,Míngtiān kěnéng xiàyǔ,Ngày mai có thể sẽ mưa.
可怕,kěpà,Tính từ,Đáng sợ,这部电影太可怕了！,Zhè bù diànyǐng tài kěpà le,Bộ phim này thật đáng sợ!
可是,kěshì,Liên từ,"Nhưng, thế nhưng",我很想去，可是没时间。,"Wǒ hěn xiǎng qù, kěshì méi shíjiān",Tôi muốn đi nhưng không có thời gian.
可以,kěyǐ,Động từ,"Có thể, được phép",我们可以在这里休息一下。,Wǒmen kěyǐ zài zhèli xiūxi yíxià,Chúng ta có thể nghỉ ngơi ở đây.
克,kè,Danh từ,Gram (đơn vị đo lường),这块巧克力100 克。,Zhè kuài qiǎokèlì 100 kè,Miếng sô-cô-la này nặng 100 gram.
刻,kè,Danh từ,"Khắc, 15 phút",现在是三点一刻。,Xiànzài shì sān diǎn yí kè,Bây giờ là ba giờ mười lăm phút.
客人,kèrén,Danh từ,Khách,客人已经到了。,Kèrén yǐjīng dào le,Khách đã đến rồi.
课堂,kètáng,Danh từ,"Lớp học, giảng đường",老师正在课堂上讲课。,Lǎoshī zhèngzài kètáng shàng jiǎngkè,Giáo viên đang giảng bài trên lớp.
空气,kōngqì,Danh từ,Không khí,这里的空气很好。,Zhèli de kōngqì hěn hǎo,Không khí ở đây rất tốt.
哭,kū,Động từ,Khóc,你别哭了！,Nǐ bié kū le,Bạn đừng khóc nữa!
快餐,kuàicān,Danh từ,Thức ăn nhanh,我们去吃快餐吧！,Wǒmen qù chī kuàicān ba,Chúng ta đi ăn đồ ăn nhanh nhé!
快乐,kuàilè,Tính từ,"Vui vẻ, hạnh phúc",祝你生日快乐！,Zhù nǐ shēngrì kuàilè,Chúc bạn sinh nhật vui vẻ!
快点儿,kuài diǎnr,Động từ,Nhanh lên,快点儿，我们要迟到了！,"Kuài diǎnr, wǒmen yào chídào le","Nhanh lên, chúng ta sắp trễ rồi!"
快要,kuàiyào,Phó từ,"Sắp, sắp sửa",咖啡店快要关门了！,Kāfēi diàn kuàiyào guānmén le,Quán cà phê sắp đóng cửa rồi!
筷子,kuàizi,Danh từ,Đũa,我不会用筷子。,Wǒ bú huì yòng kuàizi,Tôi không biết dùng đũa.
拉,lā,Động từ,"Kéo, lôi, lôi kéo, dắt",他拉着小狗散步。,Tā lā zhe xiǎo gǒu sànbù,Anh ấy dắt chó đi dạo.
来自,láizì,Động từ,"Đến từ, xuất phát từ",他来自中国。,Tā láizì Zhōngguó,Anh ấy đến từ Trung Quốc.
蓝,lán,Tính từ,Xanh,今天的天空很蓝。,Jīntiān de tiānkōng hěn lán,Bầu trời hôm nay rất xanh.
蓝色,lánsè,Danh từ,Màu xanh lam,我喜欢蓝色的衣服。,Wǒ xǐhuan lánsè de yīfu,Tôi thích quần áo màu xanh.
篮球,lánqiú,Danh từ,Bóng rổ,他的篮球打得很好。,Tā de lánqiú dǎ de hěn hǎo,Anh ấy chơi bóng rổ rất giỏi.
老,lǎo,Tính từ,"Cũ, già",我奶奶老了。,Wǒ nǎinai lǎo le,Bà tôi già rồi.
老 ( 老王 ),lǎo (Lǎo Wáng),Tính từ,Ông (dùng trước họ người để gọi người lớn tuổi),老王是我的大学同学。,Lǎo wáng shì wǒ de dàxué tóngxué,Lão Vương là bạn cùng lớp đại học của tôi.
老年,lǎonián,Danh từ,"Tuổi già, người già",老年人喜欢喝茶。,Lǎonián rén xǐhuan hē chá,Người già thích uống trà.
老朋友,lǎo péngyou,Danh từ,Bạn cũ,他是我的老朋友。,Tā shì wǒ de lǎo péngyou,Anh ấy là bạn cũ của tôi.
老是,lǎoshì,Phó từ,"Luôn luôn, lúc nào cũng",他老是迟到。,Tā lǎoshì chídào,Anh ấy lúc nào cũng đến muộn.
离,lí,Động từ,Cách,我家离学校很近。,Wǒ jiā lí xuéxiào hěn jìn,Nhà tôi cách trường rất gần.
离开,líkāi,Động từ,"Rời khỏi, rời xa",我明天要离开北京了。,Wǒ míngtiān yào líkāi Běijīng le,Ngày mai tôi sẽ phải rời khỏi Bắc Kinh rồi.
礼物,lǐwù,Danh từ,"Quà, quà tặng",这是送给你的礼物。,Zhè shì sòng gěi nǐ de lǐwù,Đây là món quà dành tặng bạn.
里头,lǐtou,Danh từ,Bên trong,书在书柜里头。,Shū zài shūguì lǐtou,Quyển sách ở bên trong tủ sách.
理想,lǐxiǎng,Danh từ,Lý tưởng,我的理想是当老师。,Wǒ de lǐxiǎng shì dāng lǎoshī.,Lý tưởng của tôi là trở thành giáo viên.
例如,lìrú,Động từ,Ví dụ như,"我喜欢很多花,例如荷花、菊花、和玫瑰花。","Wǒ xǐhuan hěnduō huā, lìrú héhuā, júhuā, hé méiguī huā","Tôi thích nhiều loại hoa như hoa sen, hoa cúc và hoa hồng."
例子,lìzi,Danh từ,Ví dụ,这个例子很容易。,Zhège lìzi hěn róngyì,Ví dụ này rất dễ hiểu.
脸,liǎn,Danh từ,Mặt,她的脸红了起来。,Tā de liǎn hóng le qǐlai,Mặt cô đỏ bừng.
练,liàn,Động từ,Luyện tập,他每天都练习写汉字。,Tā měitiān dōu liànxí xiě Hànzì,Anh ấy luyện viết chữ Hán mỗi ngày.
练习,liànxí,Động từ,"Luyện tập, rèn luyện",,,
凉,liáng,Tính từ,Mát mẻ,夏天晚上很凉快。,Xiàtiān wǎnshàng hěn liángkuai,Mùa hè buổi tối rất mát mẻ.
凉快,liángkuai,Tính từ,"Mát mẻ, dễ chịu",,,
两,liǎng,Lượng từ,Lạng (đơn vị đo trọng lượng),他买了五两花生米。,Tā mǎi le wǔ liǎng huāshēng mǐ,Anh ấy mua năm lạng đậu phộng.
亮,liàng,Tính từ,Sáng,这个房间很亮。,Zhège fángjiān hěn liàng,Căn phòng này rất sáng.
辆,liàng,Lượng từ,Chiếc (dùng cho xe cộ),他买了一辆新车。,Tā mǎile yí liàng xīn chē,Anh ấy đã mua một chiếc xe mới.
零下,líng xià,Danh từ,Dưới không độ,今天的气温降到了零下十度。,Jīntiān de qìwēn jiàng dàole língxià shí dù,Nhiệt độ hôm nay giảm xuống còn âm 10 độ C.
留,liú,Động từ,"Lưu lại, ở lại",他留在农村工作了。,Tā liúzài nóngcūn gōngzuò le,Anh ấy ở lại nông thôn làm việc.
留下,liúxia,Động từ,"Để lại, lưu lại",她留下了一封信。,Tā liúxià le yì fēng xìn,Cô ấy đã để lại một bức thư.
