哎哟,āi yōu,ái chà
稿件,gǎo jiàn,"bản thảo, tài liệu"
告辞,gào cí,"cáo từ, từ biệt"
告诫,gào jiè,"cảnh cáo, nhắc nhở"
割,gē,"cắt, gặt"
搁,gē,"đặt, để"
疙瘩,gē da,"mụn, cục"
歌颂,gē sòng,"ca ngợi, ca tụng"
隔阂,gé hé,"ngăn cách, trở ngại"
格局,gé jú,"cấu trúc, bố cục"
隔离,gé lí,cách ly
格式,gé shì,"kiểu mẫu, khuôn mẫu"
各抒己见,gè shū jǐ jiàn,mỗi người một ý
个体,gè tǐ,"cá thể, cá nhân"
各自,gè zì,"từng người, mỗi người"
跟前,gēn qián,"trước mặt, bên cạnh"
根深蒂固,gēn shēn dì gù,ăn sâu bám rễ
跟随,gēn suí,"theo đuôi, đi theo"
根源,gēn yuán,"căn nguyên, nguồn gốc"
跟踪,gēn zōng,"theo dõi, bám đuôi"
耕地,gēng dì,"canh tác, trồng trọt"
更新,gēng xīn,"đổi mới, cập nhật"
更正,gēng zhèng,"cải chính, sửa lại"
公安局,gōng ān jú,công an
供不应求,gōng bù yìng qiú,cung không đủ cầu
公道,gōng dào,"công bằng, hợp lý"
宫殿,gōng diàn,cung điện
工夫,gōng fu,"công phu, thời gian"
公告,gōng gào,thông báo
公关,gōng guān,quan hệ công chúng
攻击,gōng jī,tấn công
供给,gōng jǐ,cung cấp
恭敬,gōng jìng,"kính cẩn, cung kính"
功课,gōng kè,"bài tập, môn học"
攻克,gōng kè,"công phá, chinh phục"
功劳,gōng láo,công lao
公民,gōng mín,công dân
公婆,gōng pó,cha mẹ chồng
公然,gōng rán,công khai
公认,gōng rèn,công nhận
公式,gōng shì,công thức
公务,gōng wù,"công vụ, công tác"
功效,gōng xiào,hiệu quả
工艺品,gōng yì pǐn,đồ thủ công mỹ nghệ
公正,gōng zhèng,"công bằng, chính trực"
公证,gōng zhèng,công chứng
巩固,gǒng gù,củng cố
共和国,gòng hé guó,nước cộng hòa
共计,gòng jì,tổng cộng
共鸣,gòng míng,"cộng hưởng, đồng cảm"
勾结,gōu jié,"cấu kết, thông đồng"
钩子,gōu zi,"cái móc, cái lưỡi câu"
构思,gòu sī,"cấu tứ, suy nghĩ"
孤独,gū dú,"cô độc, cô đơn"
辜负,gū fù,"phụ lòng, phụ sự kỳ vọng"
孤立,gū lì,"cô lập, đơn độc"
姑且,gū qiě,"tạm thời, tạm thời cứ"
股东,gǔ dōng,cổ đông
古董,gǔ dǒng,"cổ vật, đồ cổ"
鼓动,gǔ dòng,"cổ động, kích động"
股份,gǔ fèn,cổ phần
骨干,gǔ gàn,"nòng cốt, trụ cột"
古怪,gǔ guài,"kỳ quái, kỳ lạ"
顾虑,gù lǜ,"lo ngại, e ngại"
固然,gù rán,"cố nhiên, dĩ nhiên"
顾问,gù wèn,cố vấn
故乡,gù xiāng,"cố hương, quê hương"
固有,gù yǒu,"vốn có, sẵn có"
故障,gù zhàng,"trục trặc, hỏng hóc"
固执,gù zhí,"cố chấp, bướng bỉnh"
拐杖,guǎi zhàng,"gậy chống, gậy chống đi"
官方,guān fāng,"chính thức, của chính phủ"
观光,guān guāng,"tham quan, du lịch"
关照,guān zhào,"quan tâm, chăm sóc"
管辖,guǎn xiá,"quản lý, cai quản"
罐,guàn,"bình, lọ, hũ"
贯彻,guàn chè,quán triệt
灌溉,guàn gài,"tưới tiêu, tưới"
惯例,guàn lì,"thói quen, thông lệ"
光彩,guāng cǎi,"rực rỡ, vẻ vang"
光辉,guāng huī,"hào quang, ánh sáng"
光芒,guāng máng,"tia sáng, ánh sáng"
广阔,guǎng kuò,"rộng lớn, bao la"
规范,guī fàn,"quy phạm, quy tắc"
规格,guī gé,"tiêu chuẩn, quy cách"
归根到底,guī gēn dào dǐ,"xét đến cùng, cuối cùng"
规划,guī huà,"quy hoạch, kế hoạch"
归还,guī huán,"hoàn trả, trả lại"
归纳,guī nà,"quy nạp, tóm lại"
规章,guī zhāng,"quy định, quy tắc"
轨道,guǐ dào,"quỹ đạo, đường ray"
跪,guì,quỳ
贵族,guì zú,quý tộc
棍棒,gùn bàng,"gậy, côn"
国防,guó fáng,quốc phòng
国务院,guó wù yuàn,quốc vụ viện
果断,guǒ duàn,"quyết đoán, quả quyết"
过度,guò dù,"quá mức, quá độ"
过渡,guò dù,"chuyển tiếp, quá độ"
过奖,guò jiǎng,quá khen
过滤,guò lǜ,"lọc, sàng lọc"
过失,guò shī,"lỗi lầm, sai lầm"
过问,guò wèn,"can thiệp, hỏi han"
过瘾,guò yǐn,"đã, sướng, thoả thích"
过于,guò yú,"quá, hơn"
嗨,hāi,"chào, này"
海拔,hǎi bá,độ cao so với mặt biển
海滨,hǎi bīn,bờ biển
含糊,hán hu,"mơ hồ, không rõ ràng"
寒暄,hán xuān,"hỏi han, trò chuyện"
含义,hán yì,"hàm ý, ý nghĩa"
罕见,hǎn jiàn,"hiếm thấy, hiếm gặp"
捍卫,hàn wèi,"bảo vệ, bảo hộ"
航空,háng kōng,hàng không
行列,háng liè,"hàng, dòng"
航天,háng tiān,hàng không vũ trụ
航行,háng xíng,"hàng hải, đi biển"
豪迈,háo mài,"hào hiệp, hào phóng"
毫米,háo mǐ,milimét
毫无,háo wú,"không hề, chẳng có"
耗费,hào fèi,"tiêu tốn, tiêu hao"
好客,hào kè,hiếu khách
号召,hào zhào,kêu gọi
呵,hē,ha (tiếng kêu ngạc nhiên)
和蔼,hé ǎi,"hòa nhã, dễ gần"
合并,hé bìng,"hợp nhất, sát nhập"
合成,hé chéng,"hợp thành, tổng hợp"
合乎,hé hū,"hợp với, phù hợp với"
合伙,hé huǒ,"hợp tác, cùng nhau"
和解,hé jiě,hòa giải
和睦,hé mù,hòa thuận
和气,hé qì,"hòa nhã, hòa thuận"
合身,hé shēn,"vừa người, vừa vặn"
合算,hé suàn,"đáng giá, có lợi"
和谐,hé xié,"hòa hợp, hài hòa"
嘿,hēi,"hì, này (tiếng gọi)"
痕迹,hén jì,"vết tích, dấu vết"
狠心,hěn xīn,nhẫn tâm
恨不得,hèn bu de,hận không thể
哼,hēng,"hừ, hừm"
哄,hōng,"dỗ, lừa"
烘,hōng,"nướng, sấy khô"
轰动,hōng dòng,"náo động, chấn động"
红包,hóng bāo,"bao lì xì, phong bì đỏ"
宏观,hóng guān,vĩ mô
洪水,hóng shuǐ,lũ lụt
宏伟,hóng wěi,"hùng vĩ, to lớn"
喉咙,hóu lóng,cổ họng
吼,hǒu,"gào thét, hét lên"
后代,hòu dài,"đời sau, hậu thế"
后顾之忧,hòu gù zhī yōu,lo lắng về sau
后面,hòu miàn,"phía sau, đằng sau"
后勤,hòu qín,hậu cần
候选,hòu xuǎn,"ứng cử, đề cử"
忽略,hū lüè,"lơ là, bỏ qua"
呼啸,hū xiào,"hú lên, rít lên"
呼吁,hū yù,"kêu gọi, hô hào"
胡乱,hú luàn,"lung tung, bừa bãi"
湖泊,hú pō,hồ nước
互联网,hù lián wǎng,mạng internet
华丽,huá lì,"lộng lẫy, hoa lệ"
华侨,huá qiáo,Hoa kiều
化肥,huà féi,phân bón hóa học
划分,huà fēn,phân chia
画蛇添足,huà shé tiān zú,vẽ rắn thêm chân
化石,huà shí,hóa thạch
话筒,huà tǒng,"micro, ống nói"
化验,huà yàn,"xét nghiệm, hóa nghiệm"
化妆,huà zhuāng,"hóa trang, trang điểm"
怀孕,huái yùn,"mang thai, có thai"
欢乐,huān lè,"vui vẻ, hoan lạc"
环节,huán jié,"phân đoạn, mắt xích"
还原,huán yuán,"hoàn nguyên, trở lại"
缓和,huǎn hé,"dịu lại, hoà dịu"
患者,huàn zhě,bệnh nhân
荒凉,huāng liáng,hoang vắng
慌忙,huāng máng,"vội vàng, hốt hoảng"
荒谬,huāng miù,"hoang đường, phi lý"
荒唐,huāng táng,"hoang đường, phi lý"
黄昏,huáng hūn,"hoàng hôn, chiều tối"
恍然大悟,huǎng rán dà wù,bừng tỉnh hiểu ra
辉煌,huī huáng,"huy hoàng, rực rỡ"
挥霍,huī huò,hoang phí
回报,huí bào,"đền đáp, báo đáp"
回避,huí bì,"tránh né, né tránh"
回顾,huí gù,"hồi tưởng, nhìn lại"
回收,huí shōu,"tái chế, thu hồi"
悔恨,huǐ hèn,"hối hận, ân hận"
毁灭,huǐ miè,"hủy diệt, tiêu diệt"
汇报,huì bào,"báo cáo, thông báo"
贿赂,huì lù,hối lộ
会晤,huì wù,"hội đàm, gặp gỡ"
昏迷,hūn mí,hôn mê
浑身,hún shēn,"toàn thân, khắp người"
混合,hùn hé,"pha trộn, hỗn hợp"
混乱,hùn luàn,hỗn loạn
混淆,hùn xiáo,"lẫn lộn, nhầm lẫn"
混浊,hùn zhuó,"đục, vẩn đục"
活该,huó gāi,đáng đời
活力,huó lì,"sinh lực, sức sống"
火箭,huǒ jiàn,tên lửa
火焰,huǒ yàn,"ngọn lửa, hỏa diễm"
火药,huǒ yào,thuốc nổ
货币,huò bì,tiền tệ
或许,huò xǔ,"có lẽ, có thể"
基地,jī dì,căn cứ
机动,jī dòng,"linh động, cơ động"
饥饿,jī è,"đói khát, đói"
激发,jī fā,"kích thích, khơi dậy"
机构,jī gòu,"cơ quan, tổ chức"
机关,jī guān,"cơ quan, bộ máy"
基金,jī jīn,"quỹ, ngân quỹ"
激励,jī lì,"khuyến khích, động viên"
机灵,jī ling,"lanh lợi, tinh nhanh"
机密,jī mì,"bí mật, cơ mật"
激情,jī qíng,"nhiệt tình, hăng hái"
讥笑,jī xiào,"châm chọc, chế giễu"
机械,jī xiè,"máy móc, cơ giới"
基因,jī yīn,"gen, di truyền"
机遇,jī yù,cơ hội
机智,jī zhì,"lanh trí, tinh khôn"
即便,jí biàn,"dù cho, cho dù"
级别,jí bié,"cấp bậc, cấp độ"
疾病,jí bìng,"bệnh tật, ốm đau"
嫉妒,jí dù,"đố kỵ, ghen tị"
极端,jí duān,cực đoan
急功近利,jí gōng jìn lì,"vội vàng, nôn nóng"
籍贯,jí guàn,quê quán
即将,jí jiāng,"sắp sửa, sắp tới"
急剧,jí jù,"nhanh chóng, mãnh liệt"
急切,jí qiè,"cấp thiết, khẩn cấp"
集团,jí tuán,tập đoàn
极限,jí xiàn,"cực hạn, giới hạn"
吉祥,jí xiáng,"cát tường, may mắn"
急于求成,jí yú qiú chéng,"nóng lòng, sốt ruột"
及早,jí zǎo,"sớm, trước"
急躁,jí zào,"nóng nảy, vội vàng"
给予,jǐ yǔ,"cho, tặng"
继承,jì chéng,kế thừa
季度,jì dù,quý (3 tháng)
忌讳,jì huì,kiêng kỵ
计较,jì jiào,"tính toán, so đo"
寂静,jì jìng,"yên tĩnh, tĩnh mịch"
季军,jì jūn,"hạng ba, giải ba"
技能,jì néng,kỹ năng
技巧,jì qiǎo,"kỹ xảo, khéo léo"
寄托,jì tuō,"gửi gắm, nhờ cậy"
继往开来,jì wǎng kāi lái,tiếp nối phát triển
迹象,jì xiàng,"dấu hiệu, dấu vết"
记性,jì xìng,trí nhớ
纪要,jì yào,"tóm tắt, ghi chép"
记载,jì zǎi,"ghi chép, ghi lại"
家常,jiā cháng,thường ngày
加工,jiā gōng,"gia công, chế biến"
家伙,jiā huǒ,"dụng cụ, khí cụ"
加剧,jiā jù,trầm trọng thêm
家属,jiā shǔ,"gia thuộc, người nhà"
佳肴,jiā yáo,"món ngon, món ngon miệng"
家喻户晓,jiā yù hù xiǎo,"ai cũng biết, khắp nơi đều biết"
夹杂,jiā zá,"xen lẫn, trộn lẫn"
假设,jiǎ shè,"giả thiết, giả dụ"
假使,jiǎ shǐ,"nếu, giả sử"
坚定,jiān dìng,"kiên định, vững chắc"
监督,jiān dū,"giám sát, quản lý"
尖端,jiān duān,"mũi nhọn, tiên tiến"
坚固,jiān gù,"kiên cố, vững chắc"
艰难,jiān nán,"gian nan, khó khăn"
坚韧,jiān rèn,"kiên cường, bền bỉ"
坚实,jiān shí,"chắc chắn, vững chắc"
监视,jiān shì,"giám sát, theo dõi"
坚硬,jiān yìng,"cứng rắn, kiên cố"
监狱,jiān yù,"nhà tù, trại giam"
兼职,jiān zhí,"việc làm thêm, bán thời gian"
拣,jiǎn,"chọn, nhặt"
剪彩,jiǎn cǎi,cắt băng khánh thành
简化,jiǎn huà,"giản hóa, đơn giản hóa"
简陋,jiǎn lòu,"sơ sài, thô sơ"
检讨,jiǎn tǎo,"kiểm điểm, xem xét lại"
简体字,jiǎn tǐ zì,chữ giản thể
检验,jiǎn yàn,"kiểm nghiệm, kiểm tra"
简要,jiǎn yào,"tóm tắt, ngắn gọn"
溅,jiàn,"bắn lên, văng ra"
鉴别,jiàn bié,"phân biệt, nhận định"
间谍,jiàn dié,gián điệp
鉴定,jiàn dìng,"giám định, xác định"
见多识广,jiàn duō shí guǎng,hiểu biết rộng rãi
间隔,jiàn gé,"khoảng cách, khoảng thời gian"
间接,jiàn jiē,gián tiếp
见解,jiàn jiě,"cách nhìn, quan điểm"
健全,jiàn quán,"kiện toàn, hoàn thiện"
践踏,jiàn tà,"dẫm đạp, đạp nát"
舰艇,jiàn tǐng,tàu chiến
见闻,jiàn wén,"hiểu biết, sự từng trải"
见义勇为,jiàn yì yǒng wéi,thấy việc nghĩa thì làm
鉴于,jiàn yú,"bởi vì, xét thấy"
将近,jiāng jìn,"gần, xấp xỉ"
将军,jiāng jūn,"tướng quân, tướng lĩnh"
僵硬,jiāng yìng,"cứng đờ, không linh hoạt"
桨,jiǎng,mái chèo
奖励,jiǎng lì,"khen thưởng, khuyến khích"
奖赏,jiǎng shǎng,"thưởng, phần thưởng"
降临,jiàng lín,"đến, xảy đến"
交叉,jiāo chā,"giao nhau, cắt ngang"
交代,jiāo dài,"giải thích, bàn giao"
焦点,jiāo diǎn,"tiêu điểm, điểm nóng"
焦急,jiāo jí,"lo lắng, sốt ruột"
娇气,jiāo qì,"mềm yếu, mỏng manh"
交涉,jiāo shè,"đàm phán, thương lượng"
交往,jiāo wǎng,"qua lại, giao lưu"
交易,jiāo yì,"giao dịch, buôn bán"
搅拌,jiǎo bàn,"khuấy, trộn"
角落,jiǎo luò,"góc, xó xỉnh"
缴纳,jiǎo nà,"nộp, đóng tiền"
较量,jiào liàng,"so tài, đấu"
教养,jiào yǎng,"giáo dục, nuôi dạy"
皆,jiē,"tất cả, đều"
阶层,jiē céng,"tầng lớp, giai tầng"
揭发,jiē fā,"vạch trần, phát giác"
接连,jiē lián,"liên tiếp, liên tục"
揭露,jiē lù,"phơi bày, lộ ra"
杰出,jié chū,"xuất sắc, kiệt xuất"
结果,jié guǒ,kết quả
竭尽全力,jié jìn quán lì,dốc hết sức lực
结晶,jié jīng,"kết tinh, kết quả"
结局,jié jú,"kết cục, kết thúc"
结算,jié suàn,thanh toán
截至,jié zhì,"cho đến, tính đến"
节奏,jié zòu,"nhịp điệu, tiết tấu"
解除,jiě chú,"giải trừ, hủy bỏ"
解雇,jiě gù,"sa thải, đuổi việc"
解剖,jiě pōu,giải phẫu
解散,jiě sàn,"giải tán, tan rã"
解体,jiě tǐ,"phân hủy, tan rã"
戒备,jiè bèi,"cảnh giới, phòng bị"
借鉴,jiè jiàn,"học hỏi, tham khảo"
界限,jiè xiàn,"giới hạn, ranh giới"
借助,jiè zhù,"nhờ cậy, dựa vào"
津津有味,jīn jīn yǒu wèi,"thích thú, say mê"
金融,jīn róng,tài chính
尽快,jǐn kuài,"nhanh chóng, càng sớm càng tốt"
尽量,jǐn liàng,"hết sức, cố gắng hết mức"
紧密,jǐn mì,"chặt chẽ, mật thiết"
紧迫,jǐn pò,"cấp bách, khẩn cấp"
锦绣前程,jǐn xiù qián chéng,tiền đồ sáng lạn
进而,jìn ér,"tiếp đó, sau đó"
进攻,jìn gōng,tấn công
进化,jìn huà,tiến hóa
近来,jìn lái,gần đây
浸泡,jìn pào,"ngâm, tẩm"
晋升,jìn shēng,"thăng tiến, thăng chức"
近视,jìn shì,cận thị
劲头,jìn tóu,"hứng thú, động lực"
进展,jìn zhǎn,"tiến triển, tiến độ"
茎,jīng,"cuống, thân cây"
精打细算,jīng dǎ xì suàn,tính toán kỹ lưỡng
惊动,jīng dòng,"làm kinh động, quấy rầy"
经费,jīng fèi,kinh phí
精华,jīng huá,"tinh hoa, tinh túy"
精简,jīng jiǎn,"giản đơn, tinh gọn"
兢兢业业,jīng jīng yè yè,"cẩn thận, chăm chỉ"
精密,jīng mì,"chính xác, tỉ mỉ"
惊奇,jīng qí,"kinh ngạc, ngạc nhiên"
精确,jīng què,"chính xác, đúng đắn"
经商,jīng shāng,kinh doanh
精通,jīng tōng,"thông thạo, tinh thông"
经纬,jīng wěi,kinh độ và vĩ độ
精心,jīng xīn,"dày công, tỉ mỉ"
惊讶,jīng yà,ngạc nhiên
精益求精,jīng yì qiú jīng,"cải tiến, hoàn thiện"
精致,jīng zhì,"tinh xảo, tinh tế"
井,jǐng,"giếng, thùng"
警告,jǐng gào,cảnh báo
警惕,jǐng tì,cảnh giác
颈椎,jǐng zhuī,đốt sống cổ
境界,jìng jiè,"cảnh giới, ranh giới"
敬礼,jìng lǐ,"chào hỏi, chào kính"
竞赛,jìng sài,"thi đấu, cạnh tranh"
镜头,jìng tóu,"ống kính, cảnh quay"
竞选,jìng xuǎn,"tranh cử, vận động bầu cử"
纠纷,jiū fēn,"tranh chấp, mâu thuẫn"
纠正,jiū zhèng,"sửa chữa, đính chính"
酒精,jiǔ jīng,"cồn, rượu"
救济,jiù jì,cứu trợ
就近,jiù jìn,"gần, lân cận"
就业,jiù yè,"việc làm, tìm việc"
就职,jiù zhí,"nhậm chức, nhận chức"
鞠躬,jū gōng,"cúi đầu, cúi chào"
拘留,jū liú,"tạm giam, tạm giữ"
拘束,jū shù,"gò bó, ràng buộc"
居住,jū zhù,"cư trú, sinh sống"
局部,jú bù,"cục bộ, một phần"
局面,jú miàn,"cục diện, tình thế"
局势,jú shì,"tình hình, tình thế"
局限,jú xiàn,"hạn chế, giới hạn"
举动,jǔ dòng,"hành động, động thái"
咀嚼,jǔ jué,"nhai, nghiền ngẫm"
沮丧,jǔ sàng,"thất vọng, buồn bã"
举世闻名,jǔ shì wén míng,nổi tiếng khắp thế giới
举世瞩目,jǔ shì zhǔ mù,chú ý khắp thế giới
举足轻重,jǔ zú qīng zhòng,có vai trò quan trọng
剧本,jù běn,"kịch bản, kịch bản phim"
聚精会神,jù jīng huì shén,tập trung cao độ
剧烈,jù liè,"dữ dội, kịch liệt"
据悉,jù xī,"được biết, theo tin"
决策,jué cè,"quyết sách, quyết định"
绝望,jué wàng,tuyệt vọng
觉悟,jué wù,"giác ngộ, tỉnh ngộ"
觉醒,jué xǐng,"thức tỉnh, tỉnh ngộ"
军队,jūn duì,quân đội
卡通,kǎ tōng,hoạt hình
开采,kāi cǎi,khai thác
开除,kāi chú,"khai trừ, đuổi học"
开阔,kāi kuò,"mở rộng, rộng rãi"
开朗,kāi lǎng,"vui vẻ, cởi mở"
开明,kāi míng,"khai sáng, sáng suốt"
开辟,kāi pì,"mở đường, khai mở"
开水,kāi shuǐ,nước sôi
开拓,kāi tuò,"khai thác, mở rộng"
开展,kāi zhǎn,"triển khai, phát triển"
开支,kāi zhī,"chi phí, chi tiêu"
刊登,kān dēng,"đăng tải, đăng báo"
勘探,kān tàn,"khảo sát, thăm dò"
刊物,kān wù,"ấn phẩm, tạp chí"
看待,kàn dài,"xem xét, đánh giá"
看来,kàn lái,"xem ra, có vẻ như"
看望,kàn wàng,"thăm hỏi, thăm viếng"
慷慨,kāng kǎi,"hào phóng, rộng lượng"
考察,kǎo chá,"khảo sát, điều tra"
考古,kǎo gǔ,khảo cổ
考核,kǎo hé,"kiểm tra, đánh giá"
考验,kǎo yàn,"thử thách, kiểm nghiệm"
靠拢,kào lǒng,"xích lại, gần kề"
磕,kē,"đập, va đập"
颗粒,kē lì,"hạt, hạt nhỏ"
科目,kē mù,"môn học, khóa học"
可观,kě guān,"đáng kể, to lớn"
可口,kě kǒu,ngon miệng
渴望,kě wàng,"khao khát, mong đợi"
可恶,kě wù,đáng ghét
可笑,kě xiào,"buồn cười, nực cười"
可行,kě xíng,"khả thi, có thể thực hiện"
刻不容缓,kè bù róng huǎn,"cấp bách, không thể trì hoãn"
客户,kè hù,khách hàng
课题,kè tí,"đề tài, vấn đề"
啃,kěn,"gặm, nhấm"
恳切,kěn qiè,"tha thiết, khẩn thiết"
坑,kēng,"hố, hố sâu"
空洞,kōng dòng,"trống rỗng, hời hợt"
空前绝后,kōng qián jué hòu,có một không hai
空想,kōng xiǎng,"mơ tưởng, ảo tưởng"
空虚,kōng xū,"trống trải, vô vị"
孔,kǒng,"lỗ, hố"
恐吓,kǒng hè,"đe dọa, hăm dọa"
恐惧,kǒng jù,"sợ hãi, kinh hãi"
空白,kòng bái,"chỗ trống, khoảng trống"
空隙,kòng xì,"khoảng trống, khe hở"
口气,kǒu qì,"khẩu khí, giọng điệu"
口腔,kǒu qiāng,khoang miệng
口头,kǒu tóu,"bằng miệng, bằng lời nói"
口音,kǒu yīn,"giọng, giọng nói"
枯竭,kū jié,"khô cạn, cạn kiệt"
枯燥,kū zào,"khô khan, buồn tẻ"
苦尽甘来,kǔ jìn gān lái,"khổ tận cam lai, qua cơn bĩ cực đến hồi thái lai"
挎,kuà,"đeo, khoác"
跨,kuà,"bước qua, vượt qua"
快活,kuài huó,"vui vẻ, hạnh phúc"
宽敞,kuān chang,"rộng rãi, thoáng đãng"
款待,kuǎn dài,"khoản đãi, tiếp đãi"
款式,kuǎn shì,"kiểu dáng, mẫu mã"
筐,kuāng,"giỏ, sọt"
框架,kuàng jià,"khung, sườn"
旷课,kuàng kè,"bỏ học, trốn học"
况且,kuàng qiě,"hơn nữa, vả lại"
亏待,kuī dài,"đối xử tệ, bạc đãi"
亏损,kuī sǔn,"tổn thất, thua lỗ"
昆虫,kūn chóng,"côn trùng, sâu bọ"
捆绑,kǔn bǎng,"trói buộc, ràng buộc"
扩充,kuò chōng,"mở rộng, khuếch trương"
扩散,kuò sàn,"lan rộng, khuếch tán"
扩张,kuò zhāng,"mở rộng, bành trướng"
啦,la,(trợ từ ngữ khí)
喇叭,lǎ ba,"loa, còi"
来历,lái lì,"lai lịch, nguồn gốc"
来源,lái yuán,"nguồn gốc, xuất xứ"
栏目,lán mù,"chuyên mục, mục báo"
懒惰,lǎn duò,lười biếng
狼狈,láng bèi,"khốn khổ, nhục nhã"
朗读,lǎng dú,"đọc to, đọc diễn cảm"
捞,lāo,"vớt, moi móc"
唠叨,láo dao,"nói lải nhải, càm ràm"
牢固,láo gù,"vững chắc, kiên cố"
牢骚,láo sāo,"bất mãn, oán giận"
乐趣,lè qù,"niềm vui, thú vui"
乐意,lè yì,"vui lòng, sẵn lòng"
雷达,léi dá,radar
类似,lèi sì,"tương tự, giống như"
冷淡,lěng dàn,"lạnh nhạt, hờ hững"
冷酷,lěng kù,"lạnh lùng, tàn nhẫn"
冷却,lěngquè,"Làm lạnh, làm nguội"
愣,lèng,"Ngây ra, sững sờ"
黎明,límíng,Bình minh
理睬,lǐcǎi,"Quan tâm, để ý"
里程碑,lǐchéngbēi,Cột mốc
礼节,lǐjié,"Lễ tiết, lễ nghi"
理所当然,lǐsuǒdāngrán,Lẽ dĩ nhiên
理直气壮,lǐzhíqìzhuàng,Đầy lý lẽ
理智,lǐzhì,"Lý trí, lý trí cao"
立场,lìchǎng,Lập trường
历代,lìdài,"Các đời, qua các thời đại"
利害,lìhài,Lợi hại
立交桥,lìjiāoqiáo,Cầu vượt
历来,lìlái,Từ trước đến nay
利率,lìlǜ,Lãi suất
力所能及,lìsuǒnéngjí,Trong khả năng
立体,lìtǐ,"Lập thể, ba chiều"
力图,lìtú,Cố gắng
例外,lìwài,Ngoại lệ
力争,lìzhēng,Cố gắng giành được
立足,lìzú,"Đứng chân, có chỗ đứng"
联欢,liánhuān,Liên hoan
廉洁,liánjié,Liêm khiết
联络,liánluò,Liên lạc
联盟,liánméng,Liên minh
连年,liánnián,Nhiều năm liên tiếp
连锁,liánsuǒ,"Chuỗi, liên tiếp"
连同,liántóng,"Kèm theo, cùng với"
联想,liánxiǎng,Liên tưởng
良心,liángxīn,Lương tâm
晾,liàng,Phơi
谅解,liàngjiě,"Thấu hiểu, thông cảm"
辽阔,liáokuò,"Rộng lớn, bao la"
列举,lièjǔ,Liệt kê
淋,lín,"Dầm, ướt sũng"
临床,línchuáng,Lâm sàng
吝啬,lìnsè,Keo kiệt
凌晨,língchén,Rạng sáng
灵感,línggǎn,Cảm hứng
灵魂,línghún,Linh hồn
伶俐,línglì,Lanh lợi
灵敏,língmǐn,Nhạy bén
零星,língxīng,"Lẻ tẻ, rời rạc"
领会,lǐnghuì,"Hiểu rõ, lĩnh hội"
领事馆,lǐngshìguǎn,Lãnh sự quán
领土,lǐngtǔ,Lãnh thổ
领悟,lǐngwù,"Hiểu rõ, lĩnh ngộ"
领先,lǐngxiān,Dẫn đầu
领袖,lǐngxiù,"Lãnh tụ, người đứng đầu"
溜,liū,Lẻn đi
流浪,liúlàng,Lang thang
留恋,liúliàn,Lưu luyến
流露,liúlù,Thổ lộ
流氓,liúmáng,Lưu manh
留念,liúniàn,Lưu niệm
留神,liúshén,"Chú ý, cẩn thận"
流通,liútōng,Lưu thông
聋哑,lóngyǎ,Điếc và câm
隆重,lóngzhòng,Long trọng
垄断,lǒngduàn,Lũng đoạn
笼罩,lǒngzhào,Bao trùm
搂,lǒu,Ôm
炉灶,lúzào,Bếp lò
轮船,lúnchuán,Tàu thuỷ
轮廓,lúnkuò,"Đường nét, hình dáng"
轮胎,lúntāi,Lốp xe
论坛,lùntán,Diễn đàn
论证,lùnzhèng,"Chứng minh, luận chứng"
啰唆,luōsuo,"Lắm lời, lằng nhằng"
螺丝钉,luósīdīng,Đinh vít
落成,luòchéng,Hoàn thành (công trình)
落实,luòshí,"Thực hiện, thực thi"
络绎不绝,luòyìbùjué,Liên tục không dứt
屡次,lǚcì,Nhiều lần
履行,lǚxíng,"Thực hiện, thi hành"
掠夺,lüèduó,Cướp bóc
略微,lüèwēi,"Hơi, một chút"
麻痹,mábì,Tê liệt
麻木,mámù,"Tê dại, tê liệt"
麻醉,mázuì,Gây mê
码头,mǎtóu,Bến cảng
嘛,ma,"Mà, nhé"
埋伏,máifú,Mai phục
埋没,máimò,"Chôn vùi, vùi lấp"
埋葬,máizàng,Chôn cất
迈,mài,Bước
脉搏,màibó,"Mạch đập, nhịp đập"
埋怨,mányuàn,Oán trách
漫长,màncháng,Dài đằng đẵng
漫画,mànhuà,Truyện tranh
慢性,mànxìng,Mãn tính
蔓延,mànyán,Lan rộng
忙碌,mánglù,Bận rộn
茫茫,mángmáng,Mênh mông
盲目,mángmù,Mù quáng
茫然,mángrán,"Mờ mịt, ngơ ngác"
冒充,màochōng,Giả danh
茂盛,màoshèng,Tươi tốt
枚,méi,"Cái, hạt (lượng từ)"
媒介,méijiè,"Môi giới, trung gian"
媒体,méitǐ,Phương tiện truyền thông
没辙,méi zhé,"Hết cách, bó tay"
美观,měiguān,Đẹp đẽ
美满,měimǎn,"Hạnh phúc, mỹ mãn"
美妙,měimiào,Tuyệt vời
门诊,ménzhěn,Khám bệnh
蒙,mēng,"Bị lừa, bịp bợm"
萌芽,méngyá,"Mầm mống, nảy mầm"
猛烈,měngliè,Mãnh liệt
梦想,mèngxiǎng,"Mộng tưởng, ước mơ"
眯,mī,Híp mắt
弥补,míbǔ,Bù đắp
迷惑,míhuò,Mê hoặc
弥漫,mímàn,"Lan toả, dâng tràn"
迷人,mírén,Quyến rũ
迷失,míshī,Lạc mất
迷信,míxìn,Mê tín
密度,mìdù,Mật độ
密封,mìfēng,Niêm phong
免得,miǎnde,"Tránh, khỏi phải"
勉励,miǎnlì,Khuyến khích
